District,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall,Temperature,Crop
Krishna,Kharif,7.35,61,38,32,1154,21.5,Maize
Visakhapatnam,Kharif,6.98,34,13,26,623,23.5,Maize
Vizianagaram,Kharif,6.9,121,79,68,625,26.7,Chilli
Chittoor,Kharif,7.4,50,64,58,684,22.3,Chilli
Anantapur,Kharif,5.73,42,55,59,1018,24.0,Maize
Guntur,Rabi,6.84,78,20,85,700,32.4,Maize
Vizianagaram,Rabi,6.94,120,18,20,1077,23.4,Rice
Chittoor,Kharif,7.64,140,22,63,684,26.8,Maize
Anantapur,Kharif,6.43,56,44,104,1099,29.7,Maize
Vizianagaram,Kharif,6.84,61,30,74,788,24.0,Maize
Visakhapatnam,Kharif,7.21,137,17,44,432,32.1,Cotton
Kurnool,Rabi,5.67,102,50,42,1071,27.5,Rice
Kadapa,Kharif,6.16,61,81,83,669,31.2,Cotton
Kurnool,Rabi,6.4,47,75,78,493,31.3,Cotton
Krishna,Kharif,7.07,131,64,91,465,25.8,Chilli
Vizianagaram,Rabi,6.82,100,11,102,1138,21.7,Rice
Visakhapatnam,Rabi,7.42,73,24,52,845,22.4,Maize
Guntur,Rabi,7.93,127,32,79,508,33.1,Cotton
Chittoor,Kharif,5.88,127,30,84,1197,33.8,Rice
Guntur,Rabi,6.72,44,56,118,714,23.6,Maize
Nellore,Kharif,5.71,92,18,112,945,31.5,Rice
Prakasam,Rabi,7.87,51,43,82,1021,26.3,Maize
Nellore,Kharif,7.28,81,57,71,929,26.8,Rice
Nellore,Kharif,5.66,32,85,85,635,28.8,Cotton
Guntur,Kharif,7.27,37,39,23,432,32.9,Cotton
Krishna,Kharif,6.2,92,37,84,535,30.9,Cotton
Vizianagaram,Rabi,6.11,90,62,39,496,21.5,Chilli
Kurnool,Rabi,6.56,89,16,101,1069,34.8,Rice
Krishna,Kharif,6.51,73,23,46,596,22.9,Groundnut
Kadapa,Kharif,6.55,65,69,46,477,26.6,Chilli
Visakhapatnam,Kharif,5.63,99,11,26,1171,32.7,Rice
Prakasam,Rabi,6.71,57,61,22,568,25.7,Chilli
Kurnool,Rabi,7.82,130,68,51,833,30.4,Chilli
Visakhapatnam,Rabi,5.89,67,37,22,993,31.0,Maize
Guntur,Rabi,5.64,104,71,79,943,22.4,Rice
Visakhapatnam,Kharif,7.63,38,86,23,1091,32.9,Chilli
Kurnool,Kharif,7.85,102,41,89,1008,20.6,Rice
Krishna,Rabi,7.14,102,76,55,667,23.1,Chilli
Anantapur,Kharif,6.16,46,48,73,723,33.9,Maize
Krishna,Kharif,6.65,102,22,24,950,23.2,Rice
Chittoor,Kharif,7.83,38,41,62,691,22.4,Maize
Visakhapatnam,Rabi,7.03,133,77,16,1083,32.3,Rice
Chittoor,Kharif,7.85,47,43,29,509,31.1,Cotton
Prakasam,Rabi,6.2,56,53,41,1103,29.5,Maize
Chittoor,Rabi,6.13,138,16,26,1049,26.4,Rice
Chittoor,Kharif,5.51,128,26,96,668,22.4,Maize
Kadapa,Rabi,6.9,44,19,103,552,28.2,Cotton
Anantapur,Kharif,6.57,35,49,61,440,33.5,Cotton
Nellore,Kharif,7.17,75,81,67,1035,31.2,Chilli
Nellore,Kharif,7.94,133,32,67,425,22.7,Groundnut
Anantapur,Rabi,7.51,140,41,49,563,31.8,Cotton
Krishna,Rabi,7.68,139,70,43,604,32.2,Cotton
Kadapa,Rabi,6.26,131,39,43,424,29.9,Cotton
Kurnool,Rabi,6.2,38,45,59,1056,27.6,Maize
Visakhapatnam,Rabi,7.85,44,43,37,994,34.4,Maize
Chittoor,Kharif,5.77,85,54,108,721,26.5,Maize
Visakhapatnam,Kharif,6.46,103,34,47,445,30.6,Cotton
Guntur,Kharif,6.41,38,52,94,721,30.0,Maize
Krishna,Rabi,6.77,115,62,56,812,30.5,Chilli
Visakhapatnam,Kharif,5.98,115,58,101,1166,33.5,Rice
Vizianagaram,Rabi,6.52,136,10,53,693,23.2,Maize
Vizianagaram,Rabi,6.66,86,37,80,884,31.9,Maize
Prakasam,Kharif,6.21,114,89,57,495,32.3,Cotton
Nellore,Rabi,6.06,55,28,18,447,23.7,Groundnut
Kadapa,Kharif,6.64,110,83,39,1135,30.4,Rice
Kadapa,Rabi,6.11,113,10,111,1188,33.3,Rice
Kurnool,Kharif,5.94,119,76,74,451,28.4,Cotton
Krishna,Rabi,5.83,89,77,86,1009,24.8,Rice
